,term,definition,break_down
414,Coordination Of Coverage,"Coordination of Coverage, which may also be called coordination of benefits, is a process undertaken by insurers to eliminate gaps in apolicyholders individual or businessinsurance coverage.","Coordination of coverage might be limited to a single insurance companys coverage, but can also be a process involving more than one insurer."
415,Corporate Ownership Of Life Insurance (COLI),"Corporate ownership of life insurance (COLI) or corporate-owned life insurance refers to insurance obtained and owned by a company on its employees, where it pays all of the premiums and receives all of the benefits. These insurance policies aretaken out by companies on their employees,with death benefits payable to these companies, rather than to the insured person's family or heirs.","COLI is generally used to protect a company from the costs arising from the unexpected death of an employee, as well as to fund employee benefits. Unlike ""key man"" insurance, which refers to company-owned insurance on directors and top executives, COLI may be taken out on any employee. For this reason, it is sometimes derisively referred to as ""janitor's insurance"" or ""dead peasant insurance."""
416,Corporate Reimbursement Coverage,"Corporate reimbursement coverage is a form of liability insurance that companies purchase to protect themselves against losses due to legal actions against their directors and officers. It is one of three components of directors and officers liability coverage. These are side A, side B and side C.","Corporate reimbursement coverage, also known as side B, is one portion of directors and officers (D&O) liability insurance. D&O is largely structured to protect the individual executive against losses, but the corporate reimbursement feature covers any losses the firm itself might suffer as a result of legal action against those individuals."
417,Correction Notice,"A correction notice indicates that a process or application contains errors or omissions that require corrections. Correction notices are typically issued by government agencies and may be issued for a variety of reasons. The government may want to clarify how organizations can participate in a government-sponsored program, ask applicants to update their applications because of missing or incomplete information, or address how organizations and individuals can comment on a proposed regulation. A correction notice is also sometimes called a notice of correction.","Correction notices are sometimes required after complex legislation is enacted, when lawmakers and government agencies discover that changes are required during the implementation process, such as after the passage of the 2010 Affordable Care Act. Government agencies that sponsor insurance programs, such as the Centers for Medicare & Medicaid Services, provide guidelines to organizations that want to offer plans in federally facilitated health insurance marketplaces. These guidelines include operational and technical instructions to help organizations ensure that they are meeting all the necessary requirements, comply with certification standards and include information about the application process."
418,Corridor Deductible,"A corridor deductible is expensespaid by the insured in excess of an insurance policys coverage limit, but below the threshold at which additional coverage options are available.Corridor deductibles bridge the gap between policies that reach the aggregate limit of coverage and any additional coverage that may be in effect.","Corridor deductibles are most commonly found in health and medical insurance plans, specifically those that have co-insurance features. The corridor deductible is usually a fixed dollar amount per loss and applies in the transitional area between basic coverage and major medical expense coverage. Basic policy benefits are paid first, and when the basic policy benefits are exhausted, the corridor deductible then applies. After the corridor deductible is paid,the major medical plan benefits come into effect."
419,Cost Of Tender,Cost of tender is the total charges associated with the delivery and certification of commodities underlying a futures contract. The cost of tender represents the total costs related to taking physical delivery of a commodity. These costs are assessed only if the futures contract holder wishes to receive the commodity rather than close the position prior to expiration.,"The cost of tender is essentially the cost of doing business. Any costs associated with the actual physical delivery of the commodity comprise the cost of tender. For example, if an investor is long corn (owns a futures contract on corn), the seller must deliver the corn to the contract holder when the contract expires (unless the contract holder closes the position prior to expiration). The holder must compensate the seller for the cost of tender, including transportation, carrying costs and any other expenses that are associated with the delivery."
420,"Cost, Insurance and Freight - CIF","Cost, Insurance and Freight (CIF) means the seller pays costs, freight and insurance against the buyer's risk of loss or damage in transit to destination.","Cost, Insurance and Freight (CIF) is one of 13 international commerce termsknown asIncoterms. Incotermsare commonly known trade terms first developed by the International Chamber of Commerce (ICC) in 1936to govern the shipping policies and responsibilities ofbuyers and sellers, who engage in international trade.Contracts involving international transportation oftenuseabbreviated versions of theseterms todescribe matters such as the time and place of delivery, payment, when the risk of loss shifts from the seller to the buyer and who pays the costs of freight and insurance.Incotermsare often identical in form to domestic terms (such as the U.S. Uniform Commercial Code), but have different meanings. As a result, parties to a contract must expressly indicate the governing law of their terms."
421,Cost-Sharing Reductions,"Cost sharing reductions are a type of federal subsidy distributed as discounts that help reduce out-of-pocket costs for health-care expenses, including:","The cost-sharing reduction subsidy wasa provision in the Patient Protection and Affordable Care Act, signed into law on March 23, 2010 by President Barack Obama."
422,Council Of Insurance Agents & Brokers,"Council Of Insurance Agents & Brokers is a global organization representing the leading commercial insurance agencies and brokerage firms. Membership in this organization, which is also known as The Council, comes with industry intelligence and continuing education opportunities. The organization also produces a quarterly Commercial Insurance Market Index that tracks pricing trends, underwriting practices and availability of commercial property and casualty lines.","The organization, founded in 1913 and headquartered in Washington, DC, also serves as an advocacy group to represent the interests of insurance companies before U.S. state and federal governments, as well as international governments. Its political action committee works to support candidates who agree with its views and also lobbies Congress on relevant issues."
423,Counsel Selection Provision,"A counsel selection provision is part of a professional or corporate liability insurance contract – a provision that allows the policyholder to select or approve the legal counsel that will represent him or her in the case of a claim. More specifically, counsel selection provisions allow directors and other corporate personnel who may be called to testify during an insurance claims case to be represented by an attorney who defends their interests as well as the interests of the company that has purchased the liability policy.","Counsel selection provisions are an adjunct to the indemnity clauses of the insurance policies companies purchase in order to protect their senior management, such as officers and directors, from certain risks. Often an important recruiting tool in attracting executive talent, these indemnity clauses allow the company to hire lawyers to defend employees in case of a trial arising from a lawsuit. Directors and officers of a company naturally want to ensure that competent lawyers represent them if they are forced to appear in court; however, if the company is responsible for choosing the counsel, then managers could wind up not receiving the best defense. It's possible that they will be represented by lawyers who are not concerned with their best interests, but rather the best interests of the company. Even though he or she is a corporate employee, the reputation of the indemnified individual is different than that of the company – meaning that the individuals reputation may be damaged while that of the companys may be protected."
424,Counseling Liability,Counseling liability is a term used to refer to legalliabilitiesarising from the provision of counseling services.,
425,Covenant Not To Execute,"A covenant not to execute is alawsuit agreement in which the plaintiff agrees not to execute a judgment against the defendant. A covenant not to execute in an insurance claim lawsuit is typically provided by a plaintiff who wants to seek a portion of the overall damages from the insured, while also reserving the right to make further claims against other policies until all damages are covered.","The covenant not to execute is a promise by the plaintiff not to seek further damages from the insured.Insurance claim lawsuits involve three main parties: the insured, the insurer, and the claimant. Each party has its separate goals it hopes to achieve. The insured wants to settle for as little as possible. The insurer wants to reduce its loss exposure to the smallest amount. The claimant wants the most money it can get from the lawsuit."
426,Covenant Not To Sue,"Covenant not to sue is alegal agreement in which the party seeking damages agrees not to sue the party that it has cause against. A covenant not to sue may indicate that the potential claimant will not sue in perpetuity, or may indicate that the claimant may postpone a lawsuit for a defined period of time.","A covenant not to sue legally obliges a party that could initiate a lawsuit not to do so. The covenant is specifically made between two parties, and any third party that wants to make a claim is legally allowed to do so. Covenants not to sue are used to settle specific legal issues outside of the court system. Parties may enter into this type of agreement in order to prevent a protracted, expensive lawsuit. In exchange for the covenant, the party that could seek damages may be provided with compensation or may be given assurances that the other party in the agreement will conduct a specific action."
427,Cover Note,"A cover note is a temporary document issued by an insurance company that provides proof ofinsurance coverage until a final insurance policy can be issued. A cover note is different froma certificate of insurance or an insurance policy document. A covernote features the name of the insured, the insurer, the coverageand what is being covered by the insurance.","Insurance companies issue a cover note in order to provide an individual with proof of insurance before all the insurance paperwork has been processed. During this time, the insurer may continue to evaluate the risks associated with insuring the holder of the cover note, and the cover note will continue to serve as the insureds proof that he or she has purchased coverage until the insurer issues the policy documents and certificate of insurance. In general, the cover note provides the same level of coverage as the full insurance policy, though insurers may place some restrictions while they make any final determinations on the risks associated with the insurance policy."
428,Coverage Trigger,"A coverage trigger is anevent that must occur in order for a liability policy to apply to a loss. Coverage triggers are outlined in the policy language, and courts will use different legal theories pertaining to triggers to determine whether policy coverage applies.","Insurance companies use coverage triggers to ensure that the policies they underwrite only apply when specific events occur. They do this to ensure that they only pay claims under certain circumstances, though this can shift the burden of proving that a policy should apply to the insured."
429,Credentialing Liability,"Credentialing liability refers to the responsibility that a hospital or medical facility carries for the staff practicing under its purview. Issues of credentialing liability arise when hospitals allow doctors and other medical professionals to practice who should not have been allowed to, whether for disciplinary reasons, a failure to meet educational requirements, or from malpractice.","Credentialing liability falls on hospitals, clinics and other medical facilities are required to ensure that doctors, physician assistants, nurses, and other medical staffers are properly vetted and credentialed before allowing them to treat patients. When patients are injured by a member of a hospitals medical staff, they and their lawyers may seek to determine whether the staff member should have been allowed to practice in the first place."
430,Credibility Theory,"Credibility theory refers to tools, policiesand procedures used by actuaries when examining data in order to estimate risk. Credibility theory uses mathematical models and methods for making experience-based estimates, in whichexperience refers to historical data.","Credibility theory helps actuaries understandthe risks associated with providing coverage, and it allows insurance companies to limit its exposure to claims and losses. Insurance companies and actuaries develop models based on historical losses, with the model taking into account a number of assumptions that have to be statistically tested in order to determine how credible they are. For example, an insurance company will examine losses previously incurred from insuring a particular group of policyholders in order to estimate how much it may cost to insure a similar group in the future."
431,Credit Default Insurance,"Credit default insurance is a financial agreement – usually a credit derivative such as a credit default swap, total return swap, or credit linked note – to mitigate the risk of loss from default by a borrower or bond issuer.",Credit default insurance allows for the transfer of credit risk without the transfer of an underlying asset. The most widely used type of credit default insurance is a credit default swap. Credit default swaps transfer credit risk only; they do not transfer interest rate risk. Total return swaps transfer both credit and interest rate risk.
432,Credit Insurance,"Credit insurance is a type of insurance policy purchased by a borrower that pays off one or more existing debts in the event of a death, disability, or in rare cases, unemployment. Credit insurance is marketed most often as a credit card feature, with the monthly cost charging a low percentage of the card's unpaid balance.","Credit insurance can be a financial lifesaver in the event of certain catastrophes. However, many credit insurance policies are overpriced relative to their benefits, as well as loaded with fine print that can make it hard to collect. If you feel that credit insurance would bring you peace of mind, be sure to read the fine print and compare your quote against a standard term life insurance policy."
433,Credit Life Insurance,"Credit life insurance is atype oflife insurancepolicy designed to pay off a borrower's debt if the borrower dies. Theface valueof a credit life insurance policy decreases proportionately with the outstanding loan amount as the loan is paid off over time, until both reach zero value.","Credit life insurance is typically sold by banks at a mortgage closing; it could also be offered when you take out a car loan or a line of credit. The pitch is to protect your heirs if you die, since the policy will pay off the loan. If your spouse or someone else is a co-signer on your mortgage, credit life insurance would protect them from making loan payments after your death. This could be appealing if you are the primary breadwinner in your family, and the loan co-signer would be unable to make payments in the event of your death."
434,Creditable Coverage,"Creditable coverage is health insurance, prescription drug, or other health benefit plan that meets a minimum set of qualifications. Types of creditable coverage plans include group health plans, individual health plans, student health plans, as well as a variety of government-sponsored or government-provided plans. Creditable coverage is used to determine coverage and costs associated with pre-existing conditions, and whether policyholders have to pay late enrollment penalties.","Creditable coverage is most closely associated with prescription drug coverage. Insurers whose policies include prescription drug coverage are required to notify policyholders who are eligible for Medicare that their policy meets or exceeds the coverage offered by a Medicare Part D prescription drug plan. If the policyholders coverage is considered creditable, he or she may be eligible for subsidies."
435,Crop-Hail Insurance,"Crop-hail insurance is a type of insurance that insures against crop damage caused by hail, as well as damage caused to crops from fires. Crop-hail insurance is purchased by farmers, and is designed to protect crops while they are still in the field and have yet to be harvested.","Crop-hail insurance protects the livelihood of farmers, who areoften at the mercy of the weather. Sudden events, such as a winter storm or a fire, can wipe out a harvest. In the United States, farmers can purchase crop insurance from Federal Crop Insurance Corporation (FCIC), a government program. This type of policy is called Multiple Peril Crop Insurance (MPCI), and generally covers losses due to changes in the price of farm commodities."
436,Cross-Liability Coverage,"Cross-liability coverage is an endorsement that provides coverage for insurance policies that cover multiple parties, and in which one of the parties is held liable for a claim made by another party underthe same contract. Cross-liability coverage treats the different parties in the contract as if they had their own separate policies.","Cross-liability refers to the ability of one insured party to sue another insured party if both parties are under the same contract. Standard liability insurance typicallyincludes a cross-liability clauseknown as aSeparation of Insureds agreement.Thelanguage should read something like this:Every insured claimed against under this policy will be treated, at the time of the claim, as if they were the only insured under the policy. This clause essentially allows one party that the policy coversto sue a second party covered in the same policy."
437,Cross-Sell,"To cross-sell is to sell related or complementary products to an existing customer. Cross-selling is one of the most effective methods of marketing. In the financial services industry, examples of cross-selling include selling different types of investments or products to investors or tax preparation services to retirement planning clients.","If done efficiently, cross-selling can translate into significant profits for stockbrokers, insurance agents, and financial planners. Licensed income tax preparers can offer insurance and investment products to their tax clients, and this is among the easiest of all sales to make. Effective cross-selling is a good business practice and is a useful financial planning strategy, as well.Often, up-selling is confused with cross-selling.Up-selling is the act of selling a more comprehensive or higher-end version of the current product. Cross-selling is the act of selling a different product than what exists to provide an additional benefit to the customer."
438,Cumis Counsel,"Cumis Counsel is legal counsel chosen by the insured when the insurer has a conflict of interest. Cumis counsel takes its name from San Diego Navy Federal Credit Union v. Cumis Insurance Society, Inc., a 1984 court case in California that established the insureds right to independent counsel.","When an insurance company underwrites a new policy it not only agrees to protect the insured from losses, but also to defend the insured against any claims. The insurer is able to control the defense of the insured by selecting the defense counsel. In most cases this is permissible because both the insured and the insurer have the same interest which is defeating the claim or limiting the amount of losses that the claim can cause. In other cases, however, the interests of the insured and the insurer are not the same."
439,Cumulative Collusive Excess Cover,"Cumulative collusive excess cover refers to areinsurance contract in which losses over a predetermined limit are shared between the cedent and the reinsurance company. Cumulative collusive excess cover allows the cedent, which is the company that has purchased the reinsurance contact, to further reduce its exposure to a specific insured risk.","Insurance companies want to bring in as a high an amount of premiums as possible while limiting their exposure – often usingcumulative collusive excess cover – to the risks created when they underwrite new insurance policies. By reducing their risk exposure,they are reducing the likelihood of having to pay for a claim, while also providing more space to underwrite new policy. One way of reducing the risk exposure is by purchasing a reinsurance contract."
440,Cumulative Exposure,Cumulative exposure is exposure to a hazard over an extended period. Injury to the individual may not manifest itself until several years after the first exposure.  ,"Cumulative exposure is not immediately apparent, in contrast to most accidents and natural disasters. For example, when a home floods, the damage can be seen right away and insurance claims filed based on the evidence gathered at the scene. The same is true of car accidents, where vehicle damage and personal injuries are immediately evident."
441,Current Liquidity,"Current liquidity is the total amount of cash and unaffiliated holdings compared withnet liabilities and ceded reinsurance balances payable. Current liquidity is expressed as a percentage, and is used to determine the amount of an insurance companys liabilities that can be covered with liquid assets. A high ratio indicates that the insurer is not dependent on new premiums to cover existing liabilities.","Understanding the type of liabilities that an insurance company has taken on by underwriting policies and ceding reinsurance is an important step in determining whether an insurer is at risk. Insurers that are able to cover their liabilities with cash and other readily-available financial sources are better able to weather increases in claims, and are thus less reliant on underwriting new policies or increasing premiums in order to cover liabilities. This sort of analysis is called liquidity analysis."
442,Cut-Through Clause,"A cut-through clause is areinsurance contract provision that allows a party,other than the ceding company and reinsurance company, to have rights under the agreement. Cut-through clauses are often triggered by specific events, such as when a ceding company becomes insolvent.","The relationship between the ceding company and reinsurer changes when a cut-through clause is present.A reinsurance contract is made between a ceding company, such as an insurance company, and a reinsurance company. In exchange for a portion of the premiums generated by the ceding companys underwriting activities, the reinsurance company agrees to indemnify the ceding company from claims made. This contractual relationship is strictly between the ceding company and the reinsurer, not between parties not included in the contract, such as policyholders. However, this changes in the presence of a cut-through clause."
443,Dangerous Asset,"A dangerous asset is apiece of property or investment which poses a risk of liability to its owner. The term generally applies to a physical asset rather than a security. Such an asset might be a building, a vehicle or equipment.","A dangerous asset poses a threat to the physical safety of another unrelated individual, thus creating a potential liability to the assets owner. For instance, a bicycle rental firm that owns a bicycle with a wobbly tire and rents it to a customer is exposing itself to the risk that the customer has an accident caused by that defective equipment. Assuming that this causation can be proved, the rental company will likely be held liable for the renters injuries and will owe damages to the injured party."
444,Dean Analytic Schedule,The Dean Analytic Schedule is a method of rating commercial fire insurance policies based on various physical fire hazards.,"Originally published by (and named for) A.F. Dean in 1902, the Dean Analytic Schedule was the first predetermined insurance schedule. It assigned a rating to a given policy using thorough, qualitative analysis, taking all the possible physical factors (which can impact a fire hazard) into consideration."
445,Death Master File (DMF),The Death Master File (DMF) is a list of people whose deaths were reported to the Social Security Administration since 1962. It is important to realize the Death Master File contains only the death data of people who had Social Security numbers.,"The Social Security Administration (SSA) Death Master File contains more than 83 million records of deaths reported to the SSA. The Death Master File typically contains the Social Security number, name, date of birth and date of death."
446,Death Star IPO,"Death Star IPO is a company's highly anticipated initial public offering (IPO) that becomes a blockbuster with investors. The Death Star IPO is a reference to the DS-1 Orbital Battle Station, also more popularly know as the ""Death Star,"" from the movie ""Star Wars."" This planetary weapon had the ability to destroy entire planets with a single beam, resulting in a massive explosion. In the stock market, stocks that have the ability to explode out of the gate are usually highly anticipated tech stocks, although stocks from other sectors can also fit the bill.","Broadly speaking, to be considered a Death Star IPO, the IPO would have to be a multi-billion dollar offering that is also in very high demand with investors. Some examples of Death Star IPOs include Google's IPO in 2004 and Yahoo! in 1996. Both IPOs were highly anticipated events and both stocks exploded on stock markets once the shares became publicly available."
447,Debris Removal Insurance,"Debris removal insurance is a section of a property insurance policy that provides reimbursement for clean-up costs associated with damage to a property. Policies with a debris removal provision typically only cover debris resulting from an insured peril, such as charred wood from a building fire.","Debris removal insurance policies commonly have a cap on the amount of reimbursement that a policyholder can receive for debris removal costs. While policies typically have debris removal as a standard provision, the policyholder is often able to purchase additional coverage.The policy provision may also extend to the removal of hazardous materials that may cover the property, but could exclude pollutants."
448,Declaratory Judgment,"A declaratory judgment is a court-issued judgment that defines and outlines the rights and obligations of each party in a contract.Declaratory judgments have the same effect and force as final judgments and are legally binding. These judgmentsarealso called a declaration, or declaratory relief.",Any party to a contract may petition the court to clarify its rights and obligations in the event of a legal controversy. A court-issued declaratory judgmentoutlines the rights and responsibilities of each involvedparty. This judgmentdoes not require action or award damages. It helps to resolve disputes and prevent lawsuits.
449,Decreasing Term Insurance,"Decreasing term insurance is renewable term life insurance with coverage decreasingover the life of the policyat a predetermined rate. Premiums are usually constant throughout the contract, and reductions in coverage typically occur monthly or annually. Terms range between 1 year and 30 years.","The theory behind decreasing term insurance holds thatwith age, certain liabilities and the corresponding need for high levels of insurance decreases. Numerous in-force decreasing term insurance policies take the form of mortgage life insurance, which affixes its benefit to the remaining mortgage of an insureds home. Alone, decreasing term insurance may not be sufficient for an individual's life insurance needs. Affordable standard term life insurance policies offer the security of a death benefit throughout the life of the contract."
450,Deferred Acquisition Costs (DAC),"Typically used in the insurance industry, deferred acquisition costs (DAC)is when a company defers the sales costs that are associated with acquiring a new customer over the term of the insurance contract.",Most of the sales costs arise from referral commissions to external distributors and brokers.These are the costs to which deferred acquisition costs action canapply
451,Delay In Completion Coverage,Delay in completion coverage is insurance that protects against costs arising from a delayed construction project.,"Construction projects usually have set schedules for building all required structures and a time for completion for each building. However, construction doesnt always go according to plan or finish on time. A delayed completion sometimes causes construction companies, developers, and other parties to incur unexpected losses, none of which were in the original cost estimates. Delay in completion coverage is designed to protect against these additional expenses."
452,Demolition Insurance,"Demolition insurance that is used to cover the costs of demolishing a building that is damaged by a peril, such as a fire or storm. Zoning requirements or building codes may require that a damaged building be demolished rather than repaired. Demolition insurance covers the cost of tearing down undamaged portions of a damaged structure.","Demolition insurance covers a building that is damaged, not necessarily pieces of a building that may cover the property itself after a storm or other peril. Property owners should also check their property insurance policies for a debris removal provision, which covers the cost of removing debris and pollution that may result from demolition."
453,Deposit Insurance Fund (DIF),The Deposit Insurance Fundis devoted to insuring the deposits of individuals covered by the Federal Deposit Insurance Corporation (FDIC). The Deposit Insurance Fund (DIF) is set aside to pay back the money lost due to the failure of a financial institution.The DIF is funded by insurance payments made bybanks.,"Account holders at banks feel more secure if their deposits are insured, and the Deposit Insurance Fund provides the assurance they are. For example, if your bank closed its doors in 2009, you would be covered up to $250,000. This reduces the same type of fear that caused the bank run in the 1930s. A common use of the DIF account balanceis to compare it to the total assets of banks on the ""FDIC Problem Banks List,"" which is issued quarterly. The FDIC could not run out of money because it could borrow from the Treasury Department, but large losses would mean higher premiums for the remaining banks in the following years."
454,Developed Premium,A developed premium is an initial quote from an insurer based largely on the policyholders risk profile.,"A developed premium quote is often adjusted once the insurer receives more information about the potential policyholder. At first, insurers have only the most basic details about those looking for a quote on a policy until the individual or business offers more in-depth details. Insurers will generally determine the initial insurance premium quote, estimating using an average policyholders risk profileand later alter the estimate using experience modifiers."
455,Developed To Net Premiums Earned,"The ratio of developed premiums to net premiums earned over a given time period. Developed to net premiums earned is a ratio that indicates whether an insurance company is charging high enough premiums to cover benefits guaranteed by the policies it writes, referred to as its loss reserves.","Insurance companies have to balance the premiums they bring in by writing policies with the benefits that those policies are guaranteeing. They set aside required reserves in order to ensure that they have enough money to pay for future claims, with any money left over after creating a reserve considered to be profit. Insurance companies want to make sure that their loss reserve is enough to cover its liabilities, but not too large so as to limit opportunities for using premiums to bring in more revenue through investment activities."
456,Development To Policyholder Surplus,"Development to policyholder surplus is the ratio of an insurers loss reserve development to its policyholder surplus. The development to policyholder surplus ratio shows whether a company is setting aside an appropriate amount of funds as loss reserves, and whether its policyholder surplus (an insurance companys net worth) is overstated or understated.","The development to policyholders surplus ratio is often calculated over multiple time periods in order to see whether an insurer is consistently overstating or understating its reserves. If the development to policyholders surplus ratio is increasing from year to year, it may be an indication of the insurance company intentionally strengthening its loss reserves (overstating), while a decrease in the ratio may indicate that its reserves are being understated."
457,Difference In Conditions (DIC) Insurance,"Difference in conditions (DIC) insurance isa type ofpolicy that provides expanded coverage for some perils not covered by standard insurance policies. DIC insurance is designed to fill in gaps in insurance coverageand is most frequently used by larger organizations, looking for protection from catastrophic perils.","Difference in conditionsinsuranceprovides expanded coverage forperilsnot covered by standard insurance policies.Insurance companies typically offer policies that cover perils that are well-defined and predictable. They are less willing to underwrite policies that cover infrequent and severe perils, as these are more difficult to account when setting the premium thatshould charged. Thus, most policies cover higher frequency, lower severity perils. However, this does not meanthat the insured party is fully insulated fromrisks ofcatastrophes. Itdoes mean that many insurers shy away from providing coverage for catastrophes."
458,Direct Premiums Written,Direct premiums written arethe totalpremiums received before consideringreinsurance ceded. Direct premiums writtenrepresent the growth of a companys insurance business during a given period. It can include both policies written by the company and policies written by its affiliated companies.,"While insurance companies can increase revenue by increasing premiums on policies that have come upfor renewal, the main driver for growth in this area is writing new policies. Direct written premiums show how many new premiums were written over the course of the year, even if those premiums are ultimately not collected."
459,Direct Writer,"A direct writer is aninsurance agent or insurance company that only issues insurance policies from a single insurance company. A direct writer, also called a captive agent, represents a single company and does not shop around at several companies to find a client the best policy for the best price. Most of the insurance companies that are household names are direct writers.","Direct writers are employees of a single insurance company, whereas independent agents are self-employed and make money from the commissions they receive from various insurance companies when they sell insurance policies. Consumers do not pay independent agents a fee for the service they provide."
460,Directors And Officers Liability Insurance,Directors and officers (D&O) liability insurance is insurance coverage intended to protect individuals from personal losses if they are sued as a result of serving as a director or an officer of a business or other type of organization (see Build A Wall Around Your Assets). It can also cover the legal fees and other costs the organization may incur as a result of such a suit. ,"Directors and officersliability insurance applies to anyone who serves as a director or an officer of a for-profit business or non-profit organization. A directors and officers liability policy insuresagainst personal losses, and itcan also help reimburse abusiness or nonprofit for the legal fees or other costs incurred in defending suchindividuals against a lawsuit."
461,Disability Insurance,"Disability insurance is a type of insurance tha twill provide income in the event a worker is unable to perform their work and earn money due to a disability. There are many types of organizations that provide different types ofdisability insurance. Each organization and disability insurance type have specific rules as to what constitutes a disability and how a person might qualify to receive the disability benefit. Short term disability insurance policies offer a worker a portion of their salary if they are unable to work for a short period- typically three to six months. Long term disability insurance offers a worker a portion of their salary if they are unable to work for a longer period- typically a period of over six months. Both short term and long term disability policies have a period that a person must be disabled for before that individual is able to start receiving disability benefits. That period of time is called an elimination period. If a person becomes disabled, they must wait until the elimination period is over before they start receiving benefits. If they are able to work before the elimination period is over, the person will not receive a benefit. The Social Security Administrationalso provides disability insurance. Employees who've paid the Federal Insurance Contributions Act (FICA) tax for a certain amount of time, are eligible to receive the Social Security disability income insurance if they meet the strict requirements of disability under the OASDIprogram.",Disability insurance is also referred to as disability-income insurance.
462,Disability Insurance Trust Fund,"The Disability Insurance Trust Fund (DI) is the smaller of two funds within the Social Security Trust Fund, established as part of the Social Security Act Amendments of 1956. The vital Old-Age and Survivors Insurance Trust Fund (OASI) is the second and more massiveTrust.",The Disability Fund pays Social Security benefits to those who are mentally or physically incapable of gainful employment. Spouses and children of recipients may also receive benefits.
463,Disability-Income (DI) Insurance,Disability income (DI) insurance provides supplementary income in the event of an illness or accident resulting in a disability that prevents the insured from working at their regular employment. Benefits usually are paid monthly so the insured can maintain their standard of living and continue to pay ordinary expenses.,​​​​​​​Disability income (DI)insurance is designed to replace between 45% and 65% of the insureds gross incomeon a tax-free basis. The benefits tax-free because the individual used after-tax dollars to pay for the plan.The policy pays a benefit in the event illness or injury prevents the policyholder from earning their usual income in their occupation.
464,Discounted Stop-Loss Cover,Discounted stop-loss cover is areinsurance agreement used by self-insured companies to cover losses over a predetermined retention level. Discounted stop-loss covers are purchased at a reduced rate by self-insured companies who use the same vendor for other administrative functions.,"When considering discounted stop-loss covers, self-insured companies have to consider whether the financial benefits and convenience of working with a single provider outweighs paying a higher rate for stop-loss coverage and working with several different companies that may be more specialized in providing administrative services. If a self-insured companys risk profile is low, it may not make sense to purchase stop loss coverage."
465,Discovery Bond,"A discovery bond is a type of fidelity bond used to protect a business from losses caused by employees committing acts of fraud. A discovery bond covers losses that are discovered while the bond is in effect, regardless of when the fraudulent or dishonest acts were committed.","While its name implies that it is a bond, a discovery bond is actually an insurance policy and not a security that can be traded."
466,Discovery Cover,"A discovery cover is a provision in an insurance policy that indemnifies the policyholder for losses that are found during the policy period, regardless of when the losses actually occurred. Discovery covers are used in both insurance policies and reinsurance treaties, and are designed to provide protection from claims that are filed after a prolonged period of time.","A reinsurance treaty with a discovery cover is akin to a claims-made policy for insurers. It allows the ceding insurer to be indemnified by the reinsurer from losses that were discovered while the treaty was in effect, regardless of when the loss was sustained."
467,Disease Management Program,A disease management program is an initiative created and managed by a health insurance company to manage the costs of policyholders chronic health conditions. It is based on the idea of spending a relatively low impact now to prevent or minimize health problems to lessen potential costs and related claims in the future.,A disease management program can help control health care expenses for insurance companies and employers who offer health insurance.
468,Distribution Clause,A distribution clause is a term used in the insurance industry that refers to a specific provision in an insurance policy that defines coverage limits for multiple risks.,"A distribution clause is a provision which determines how the coverage limit is to be applied to items covered under the policy. Distribution clauses apply to policies that cover multiple assets, such as property insurance, including assets that are spread out over multiple locations. Home insurance is a type of blanket insurance, as it covers both the structure and the contents of your house against loss."
469,Doctrine Of Utmost Good Faith,"The Doctrine of Utmost Good Faith, also known as uberrimae fidei, is the minimum standard requiring transacting parties to act honestly and not mislead or withhold critical information from one another. The doctrine of utmost good faith applies to many everyday financial transactions and is one of the most fundamental doctrines in insurance law.","In the insurance market, the principle of utmost good faith requires the applicant to disclose all relevant personal information, such as previous health problems. Likewise, the insurance agent must reveal critical details about the contract and its terms. Unlike insurance contracts, most commercial agreements do not subscribe to the doctrine of utmost good faith.Instead, most are subject to caveat emptor, or ""buyer beware.""A sellerneed only disclose information requested by the buyer."
470,Double Gearing,"Double gearing describes situations where more than one company use shared capitalas a way tomitigate risk. The businesses involved in double gearing loan funds to one another. This practice can artificially skew the accounts of the companies, making them appear in better financial health than theyare. This practice is common incomplex corporate structures, where one large company owns various subsidiaries, each maintaining a separatebalance sheet. Those individual balance sheets may appear to show adequate capital, but if analyzed as one entity may revealoverleveragedpositions. ",Double gearing is a practice that can disguise risk exposure because more than one business entity may claim the same assets as capital protecting against risk.Sharing seems to be a way that helps tomitigate risk but does not adequately document the actual exposure to risk for each company.
471,Dram Shop Laws,"Dram shop laws are laws that hold businesses liable when they serve or sell alcohol to minors or obviously intoxicated persons who later cause death or injury. Dram shop laws vary by state. States hold establishments liable incertain circumstances, and to varyingdegrees, depending on the lawapproved by the voters of the state.","The dram shop law gets its name from a historicalway of measuring alcohol where a dram is .75 of a teaspoon. The regulation applies to all businesses that sell or serve alcohol. Such establishments include restaurants, bars, liquor stores, taverns, and stadium vendors."
